latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-06-10,27.7,24.1,6.70,16.5,25.1
2016-06-11,29.0,24.0,2.60,15.9,25.9
2016-06-12,28.8,23.9,2.30,16.4,26.0
2016-06-13,29.1,24.0,2.50,19.7,25.9
2016-06-14,29.9,24.0,0.90,20.6,26.4
2016-06-15,30.4,23.4,2.50,22.6,26.4
2016-06-16,28.2,23.2,3.40,18.5,25.0
2016-06-17,26.9,23.4,7.80,14.7,24.8
2016-06-18,26.8,23.2,6.10,14.2,24.5
2016-06-19,28.4,23.0,2.80,16.7,25.3
2016-06-20,27.3,23.1,4.40,13.5,24.7
2016-06-21,26.5,22.7,6.20,13.6,23.8
2016-06-22,27.8,22.8,10.50,18.3,24.2
2016-06-23,27.9,22.3,10.30,16.3,24.0
2016-06-24,28.0,22.4,4.50,19.1,24.1
2016-06-25,25.0,22.6,8.50,15.0,23.7
2016-06-26,28.2,23.0,1.80,18.7,25.2
2016-06-27,29.0,23.0,7.70,17.7,24.8
2016-06-28,26.2,22.9,16.60,19.6,24.0
2016-06-29,27.7,22.5,11.80,19.9,24.2
2016-06-30,29.0,23.1,6.70,20.7,25.1
2016-07-01,29.4,23.2,1.80,23.5,26.0
2016-07-02,30.3,24.1,0.50,22.9,26.6
2016-07-03,29.8,23.8,1.20,20.1,26.3
2016-07-04,28.6,23.0,10.00,16.9,24.6
2016-07-05,28.4,22.8,6.50,18.6,24.9
2016-07-06,27.1,23.2,15.20,16.8,24.3
2016-07-07,27.9,23.0,3.80,17.8,24.9
2016-07-08,26.8,23.2,15.10,19.0,24.3
2016-07-09,25.8,23.2,10.70,19.0,24.0
2016-07-10,27.1,22.8,10.80,20.9,24.3
2016-07-11,27.0,23.0,6.90,20.4,24.4
2016-07-12,27.8,23.1,3.00,21.8,24.7
2016-07-13,28.4,23.0,1.40,18.7,25.0
